name;kategorie;blz;bic;plz;ort
N26 Bank;Neobank;10011001;NTSBDEB1XXX;10179;Berlin
Trade Republic Bank;Neobank;10012345;TRBKDEBBXXX;10119;Berlin
Revolut Bank, Zweigniederlassung Deutschland;Neobank;10010178;REVODEB2XXX;10117;Berlin
bunq Niederlassung Deutschland;Neobank;37019000;BUNQDE82XXX;50667;Köln
C24 Bank;Neobank;50024024;DEFFDEFFXXX;60327;Frankfurt am Main
Klarna Bank, German Branch;Neobank;10010300;KLRNDEBEXXX;10115;Berlin
Scalable Capital Bank;Neobank;70022424;SCABDEMMXXX;;München
ING-DiBa;Direktbank;50010517;INGDDEFFXXX;;Frankfurt am Main
Deutsche Kreditbank (DKB);Direktbank;12030000;BYLADEM1001;10117;Berlin
comdirect (Geschäftsfeld der Commerzbank);Direktbank;20041111;COBADEHDXXX;25449;Quickborn
norisbank;Direktbank;10077777;NORSDE51XXX;10625;Berlin
Openbank Deutschland;Direktbank;10033300;SCFBDE33XXX;41061;Mönchengladbach
1822direkt (Geschäftsfeld der Frankfurter Sparkasse);Direktbank;50050222;HELADEF1822;60255;Frankfurt am Main
